Gene,Normal_to_Damaged,Normal_to_Poorly_diff,Normal_to_Well_diff,Damaged_to_Poorly_diff,Damaged_to_Well_diff,Poor_to_well_diff
PRRT3-AS1,0,0,0,0,0,0
PSMA3-AS1,1,0,0,0,0,0
PSMB8-AS1,0,1,1,0,0,0
PSMD6-AS2,0,1,1,0,0,0
PSMG3-AS1,0,0,1,1,1,0
PTOV1-AS1,0,0,0,0,0,0
PTOV1-AS2,0,0,0,0,0,0
PTPRG-AS1,0,0,0,0,0,0
PVT1,0,1,1,1,0,0
PXN-AS1,0,0,0,0,1,0
PYCARD-AS1,1,0,1,0,0,0
RAB11B-AS1,0,0,0,0,0,0
RAB30-AS1,0,0,0,0,0,0
RAD51-AS1,0,0,1,0,0,0
RAMP2-AS1,0,0,1,0,1,0
RAP2C-AS1,1,0,1,0,0,0
RARA-AS1,0,0,1,0,0,0
RASAL2-AS1,0,0,0,0,0,0
RASSF8-AS1,0,0,0,0,0,0
RBM26-AS1,0,0,1,0,0,0
RFX3-AS1,0,0,1,0,0,0
RGS5,0,0,0,0,0,0
RHOXF1-AS1,0,0,0,0,1,0
RMRP,1,0,0,0,0,0
RNASEH1-AS1,0,0,0,0,0,0
RNF139-AS1,1,0,1,0,0,0
RNF144A-AS1,0,1,1,0,1,0
RNF216P1,0,1,1,0,0,0
RNF217-AS1,0,0,0,0,0,0
RNU11,0,0,0,1,0,0
RNU12,0,0,0,0,0,0
RP1-102E24.8,0,0,1,0,0,0
RP1-151F17.2,0,0,0,0,0,0
RP1-178F15.4,0,0,0,0,0,0
RP1-191J18.66,1,1,1,0,1,0
RP1-197B17.3,0,0,0,0,0,0
RP1-206D15.6,0,0,0,0,0,0
RP1-228H13.5,0,1,1,0,0,0
RP1-232P20.1,1,1,1,1,1,1
RP1-239B22.5,0,0,0,0,0,0
RP1-257A7.4,0,0,0,0,0,0
RP1-261D10.2,0,0,1,0,0,0
RP1-272L16.1,1,1,1,1,1,1
RP1-27K12.4,0,0,1,0,1,0
RP1-283E3.8,0,0,0,0,0,0
RP1-29C18.8,0,0,0,0,0,0
RP1-30M3.5,0,0,0,0,0,0
RP1-39G22.7,0,0,0,0,0,0
RP1-68D18.2,1,0,0,0,0,0
RP1-69D17.4,0,0,0,0,0,0
RP1-79C4.4,0,0,0,0,0,0
RP1-80N2.3,0,0,0,0,0,0
RP11-1006G14.4,0,1,1,0,0,0
RP11-1007O24.3,0,0,0,0,0,0
RP11-1017G21.5,0,0,0,0,0,0
RP11-1020A11.2,0,0,1,0,0,0
RP11-1024P17.1,0,0,0,0,0,0
RP11-1038A11.3,0,0,0,0,0,0
RP11-1055B8.4,0,0,1,0,0,0
RP11-1060J15.4,0,0,0,0,0,0
RP11-1069G10.1,0,0,1,0,0,0
RP11-1081L13.4,1,1,1,1,1,1
RP11-108K3.1,0,1,1,0,0,0
RP11-108M9.4,0,0,0,0,0,0
RP11-1094H24.4,0,0,0,0,0,0
RP11-1094M14.11,0,1,1,0,0,0
RP11-109J4.1,1,0,1,0,0,0
RP11-10C24.3,0,0,1,0,0,0
RP11-10L12.4,0,0,0,0,0,0
RP11-110G21.1,0,1,0,0,0,0
RP11-110I1.12,0,0,0,0,0,0
RP11-1112J20.2,1,1,1,1,1,1
RP11-1114A5.4,1,0,1,0,0,0
RP11-111M22.3,1,0,0,0,0,0
RP11-1149O23.3,0,1,1,0,0,0
RP11-114H23.1,0,0,0,0,0,0
RP11-115C21.2,0,1,1,0,0,0
RP11-115H15.2,1,0,1,0,0,0
RP11-116G8.5,1,0,0,1,0,0
RP11-119F7.5,0,0,0,0,0,0
RP11-119J18.1,0,1,1,0,0,0
RP11-120D5.1,0,1,1,0,0,0
RP11-121C2.2,0,0,0,0,0,0
RP11-122K13.12,0,0,0,0,0,0
RP11-1246C19.1,0,0,0,0,0,0
RP11-1260E13.4,0,1,1,1,1,0
RP11-1275H24.1,0,0,0,0,0,0
RP11-1275H24.3,0,0,0,0,0,0
RP11-1277A3.1,0,0,0,0,0,0
RP11-1299A16.3,0,1,1,0,0,0
RP11-130F10.1,0,0,1,0,0,0
RP11-132A1.4,0,1,1,0,0,0
RP11-134G8.10,1,0,1,0,0,0
RP11-134L10.1,0,0,1,0,0,0
RP11-138A9.1,1,0,0,0,1,0
RP11-138I1.4,1,0,1,0,0,0
RP11-140K17.3,0,0,0,0,0,0
RP11-145A3.1,0,1,1,0,0,0
RP11-14N7.2,0,0,0,0,0,0
RP11-152N13.16,0,0,0,0,0,0
RP11-156E6.1,1,0,0,0,1,0
RP11-156P1.3,0,0,0,0,0,0
RP11-157P1.4,0,0,0,0,0,0
RP11-158H5.7,0,0,1,0,0,0
RP11-158K1.3,0,1,1,0,0,0
RP11-159D12.2,0,0,0,0,0,0
RP11-159F24.5,0,0,0,0,0,0
RP11-159F24.6,0,0,1,0,0,0
RP11-160E2.6,0,1,1,0,0,0
RP11-161I6.2,0,1,0,0,0,0
RP11-161M6.2,0,1,1,0,1,0
RP11-162A12.2,0,0,0,0,0,0
RP11-164P12.3,0,0,0,0,0,0
RP11-166B2.3,0,0,0,0,0,0
RP11-166P13.3,0,0,1,0,1,0
RP11-16C1.2,0,0,0,0,0,0
RP11-16E18.3,0,0,0,0,0,0
RP11-171I2.2,0,0,0,0,0,0
RP11-173A16.2,1,1,1,0,0,0
RP11-174G6.5,0,0,0,0,0,0
RP11-175K6.1,0,1,1,0,0,0
RP11-182L21.6,0,0,0,0,0,0
RP11-18H21.1,1,0,1,0,0,0
RP11-18H7.1,0,0,0,0,0,0
RP11-191L9.4,0,0,0,0,0,0
RP11-195F19.9,0,1,1,0,0,0
RP11-1D12.1,0,0,0,0,0,0
RP11-206L10.9,0,0,0,0,0,0
RP11-20D14.6,0,0,0,0,0,0
RP11-20G13.1,0,0,0,0,0,0
RP11-212I21.4,1,0,0,0,0,0
RP11-212P7.2,0,0,0,0,0,0
RP11-214O1.2,0,1,1,0,0,0
RP11-216L13.19,0,0,0,0,0,0
RP11-218E20.3,1,1,1,0,0,0
RP11-218F10.3,1,0,1,0,0,0
RP11-218M22.1,0,0,0,0,0,0
RP11-21B23.2,0,0,1,0,0,0
RP11-21L23.2,0,1,1,1,1,0
RP11-221N13.3,0,0,1,0,0,0
RP11-228B15.4,0,0,0,0,0,0
RP11-22C11.2,0,0,0,0,0,0
RP11-22H5.2,0,0,0,0,0,0
RP11-231D20.2,1,0,1,0,0,0
RP11-235E17.6,0,0,0,0,0,0
RP11-23J9.5,1,0,1,0,0,0
RP11-242D8.1,0,0,1,0,0,0
RP11-244M2.1,0,0,0,0,0,0
RP11-244O19.1,0,0,0,0,0,0
RP11-247L20.4,0,0,0,0,0,0
RP11-248J18.2,0,0,0,0,0,0
RP11-248J18.3,0,0,0,0,0,0
RP11-251G23.5,0,0,0,0,0,0
RP11-253E3.3,0,1,1,0,0,0
RP11-254F7.2,0,0,1,0,0,0
RP11-255H23.4,1,1,1,1,1,1
RP11-256L6.3,1,1,1,1,1,1
RP11-259N19.1,1,1,1,0,0,0
RP11-259O2.1,0,0,0,0,0,0
RP11-25K19.1,0,1,1,0,0,0
RP11-260M2.1,1,0,1,0,0,0
RP11-262H14.3,0,0,0,0,0,0
RP11-262H14.4,0,0,0,0,0,0
RP11-266K4.9,0,0,0,0,0,0
RP11-266L9.5,0,1,1,1,1,0
RP11-269F19.2,0,0,0,0,0,0
RP11-26J3.3,0,0,0,0,0,0
RP11-26L20.3,0,0,1,0,1,0
RP11-273G15.2,0,0,0,0,0,0
RP11-274B21.14,0,0,0,0,0,0
RP11-275I14.4,1,1,1,1,1,1
RP11-276H19.2,0,0,0,0,0,0
RP11-276H7.2,1,0,1,0,0,0
RP11-277P12.20,1,0,1,0,0,0
RP11-278A23.1,0,0,0,0,0,0
RP11-27M24.2,0,1,1,0,1,0
RP11-282K24.3,1,0,0,0,0,0
RP11-283I3.6,1,1,1,0,0,0
RP11-284F21.10,0,0,0,0,0,0
RP11-284N8.3,0,0,0,0,0,0
RP11-290D2.6,1,0,1,1,0,0
RP11-290F5.1,0,0,0,0,0,0
RP11-291B21.2,0,0,0,0,0,0
RP11-293M10.6,0,0,0,0,0,0
RP11-295D4.1,0,1,1,0,0,0
RP11-295G20.2,0,0,0,0,0,0
RP11-295P9.3,1,1,1,0,0,0
RP11-296O14.3,0,0,0,0,0,0
RP11-297D21.4,0,0,0,0,0,0
RP11-297P16.4,0,0,1,0,0,0
RP11-298I3.4,0,0,0,0,0,0
RP11-299H21.1,0,1,0,0,0,0
RP11-299J3.8,0,0,1,0,0,0
RP11-29G8.3,1,0,0,0,0,0
RP11-2B6.2,0,0,0,0,0,0
RP11-303E16.2,1,1,1,0,0,0
RP11-304F15.3,0,0,1,0,0,0
RP11-304F15.7,0,0,1,0,0,0
RP11-304L19.1,0,0,0,0,0,0
RP11-305E6.4,0,0,0,0,0,0
RP11-305K5.1,0,0,0,0,0,0
RP11-305L7.7,0,0,1,0,0,0
RP11-305O6.3,0,0,1,0,0,0
RP11-307C12.11,0,0,1,0,1,0
RP11-307C12.12,0,0,0,0,1,0
RP11-30P6.6,0,1,1,0,1,0
RP11-311F12.1,0,0,0,0,0,0
RP11-317N8.5,1,1,1,0,0,0
RP11-319G6.1,0,0,0,0,0,0
RP11-31F19.1,0,0,0,0,0,0
RP11-321G12.1,0,1,1,0,1,0
RP11-324I22.4,0,0,0,0,0,0
RP11-325F22.2,0,0,0,0,0,0
RP11-325K4.3,0,0,0,0,0,0
RP11-326C3.2,0,0,0,0,0,0
RP11-326I11.3,0,0,0,0,0,0
RP11-326K13.4,0,1,1,1,0,0
RP11-327F22.6,0,0,0,0,0,0
RP11-327P2.5,0,0,0,0,0,0
RP11-332H14.2,0,1,0,0,0,0
RP11-332M2.1,0,1,1,1,1,0
RP11-333E1.1,0,0,1,0,0,0
RP11-334C17.5,0,0,1,0,0,0
RP11-337C18.8,0,0,0,0,0,0
RP11-342K6.1,1,0,0,0,0,0
RP11-342M1.3,0,0,0,0,0,0
RP11-343L5.2,0,0,0,0,0,0
RP11-344B5.2,0,1,1,0,1,0
RP11-344N10.5,0,0,0,0,0,0
RP11-345P4.9,0,0,0,0,0,0
RP11-347C18.3,0,0,0,0,0,0
RP11-348P10.2,0,0,0,0,0,0
RP11-34P13.13,0,0,0,0,0,0
RP11-350F16.1,0,0,1,0,1,0
RP11-350J20.12,1,1,1,1,1,1
RP11-351D16.3,0,0,0,0,0,0
RP11-352M15.2,0,1,0,0,0,0
RP11-355B11.2,0,0,0,0,0,0
RP11-355F16.1,0,0,0,0,0,0
RP11-355O1.11,0,0,0,0,0,0
RP11-356I2.4,0,1,0,0,0,0
RP11-356J5.12,0,0,0,0,0,0
RP11-359B12.2,0,0,0,0,0,0
RP11-359E3.4,0,0,0,0,0,0
RP11-35G9.3,0,0,0,0,0,0
RP11-363E6.3,1,1,1,0,0,0
RP11-363E7.4,1,0,1,0,0,0
RP11-365O16.6,0,1,1,1,1,0
RP11-367F23.2,1,1,1,1,1,1
RP11-367G18.1,0,0,0,0,0,0
RP11-368L12.1,1,1,1,1,1,1
RP11-370I10.12,0,0,0,0,0,0
RP11-372M18.2,0,0,1,0,0,0
RP11-373D23.2,0,0,0,0,0,0
RP11-378A13.1,0,0,0,0,0,0
RP11-378J18.8,0,0,0,0,0,0
RP11-379B18.5,0,0,0,0,0,0
RP11-379B8.1,0,0,0,0,0,0
RP11-379F4.4,0,1,1,0,0,0
RP11-379H18.1,0,0,0,0,0,0
RP11-37B2.1,0,0,0,0,0,0
RP11-380J14.1,0,0,1,0,0,0
RP11-381K20.2,0,0,0,0,0,0
RP11-384L8.1,0,1,0,1,1,0
RP11-386B13.4,1,1,1,1,1,1
RP11-389C8.2,0,0,0,0,0,0
RP11-38L15.3,0,0,0,0,0,0
RP11-390E23.6,0,0,0,0,0,0
RP11-390F4.3,0,0,0,0,0,0
RP11-390P2.4,0,0,1,0,0,0
RP11-392P7.6,0,0,0,0,0,0
RP11-395A13.2,0,0,0,0,0,0
RP11-395I6.3,1,1,1,0,0,0
RP11-398K22.12,0,0,1,0,0,0
RP11-399O19.9,1,0,0,0,0,0
RP11-400F19.18,0,0,0,0,0,0
RP11-400F19.6,0,0,1,0,0,0
RP11-400K9.4,0,0,0,0,0,0
RP11-400N13.3,0,0,1,0,0,0
RP11-404P21.5,0,0,0,0,0,0
RP11-405O10.2,0,0,0,0,0,0
RP11-407B7.1,1,0,0,0,0,0
RP11-411K7.1,1,1,1,1,1,1
RP11-418J17.1,0,0,0,0,0,0
RP11-420A23.1,0,1,1,1,0,0
RP11-420L9.5,0,1,1,0,0,0
RP11-421E14.2,0,0,0,0,0,0
RP11-421L21.3,0,0,0,0,0,0
RP11-423H2.3,0,0,0,0,0,0
RP11-423P10.2,0,0,0,0,0,0
RP11-426C22.4,0,0,1,0,1,0
RP11-428J1.5,0,0,0,0,0,0
RP11-430H10.2,1,0,1,0,0,0
RP11-432J22.2,0,1,1,0,0,0
RP11-434P11.2,0,0,0,0,0,0
RP11-439E19.10,0,0,1,0,0,0
RP11-440D17.3,0,0,0,0,0,0
RP11-440L14.1,0,0,0,0,0,0
RP11-441O15.3,0,0,0,0,0,0
RP11-443B20.1,0,1,1,1,0,0
RP11-446N19.1,0,1,0,0,0,0
RP11-448A19.1,0,0,0,0,0,0
RP11-448G15.3,0,0,0,0,0,0
RP11-449P15.2,0,0,1,0,1,0
RP11-44F14.2,1,0,1,0,0,0
RP11-44F14.8,0,0,0,0,0,0
RP11-44F21.5,0,0,0,0,0,0
RP11-44N11.1,1,0,0,0,0,0
RP11-44N21.1,0,0,0,0,0,0
RP11-452L6.1,0,0,0,0,0,0
RP11-452L6.5,0,0,0,0,0,0
RP11-455F5.3,1,0,0,0,0,0
RP11-456K23.1,0,0,0,0,0,0
RP11-458D21.1,0,0,0,0,0,0
RP11-458F8.4,0,0,0,0,0,0
RP11-459E5.1,0,1,1,1,1,0
RP11-462G2.1,1,1,1,1,1,1
RP11-462L8.1,0,1,1,0,0,0
RP11-465B22.8,0,0,0,0,0,0
RP11-465N4.4,1,1,1,0,0,0
RP11-46A10.5,0,0,0,0,0,0
RP11-46C24.7,0,0,0,0,0,0
RP11-46D6.1,0,1,0,0,0,0
RP11-473I1.9,0,0,1,0,0,0
RP11-473M20.16,0,0,1,0,0,0
RP11-473M20.9,0,0,0,0,0,0
RP11-474O21.5,0,0,0,0,0,0
RP11-475O6.1,0,1,1,0,0,0
RP11-477D19.2,1,0,1,0,0,0
RP11-47I22.2,0,1,1,0,1,0
RP11-481J2.2,0,0,1,0,1,0
RP11-485M7.3,1,1,1,1,1,1
RP11-486L19.2,0,0,0,0,0,0
RP11-488C13.5,0,0,1,0,0,0
RP11-488I20.8,0,0,0,0,0,0
RP11-488L18.10,0,0,0,0,0,0
RP11-490M8.1,0,0,0,0,0,0
RP11-494M8.4,1,1,1,0,0,0
RP11-496I9.1,0,0,1,0,0,0
RP11-497E19.1,0,0,0,0,0,0
RP11-498C9.15,0,0,0,0,0,0
RP11-498E2.9,0,1,1,0,0,0
RP11-499P20.2,0,0,1,0,0,0
RP11-49I11.1,0,0,0,0,0,0
RP11-4O1.2,0,0,0,0,0,0
RP11-500C11.3,1,1,1,0,0,0
RP11-503E24.2,1,0,0,0,0,0
RP11-508N22.12,0,0,1,0,0,0
RP11-513I15.6,0,1,1,0,0,0
RP11-513M16.8,1,1,1,0,0,0
RP11-517B11.7,0,0,1,0,0,0
RP11-517C16.2,1,1,1,1,1,0
RP11-519G16.3,0,0,0,0,0,0
RP11-521B24.3,0,0,0,0,0,0
RP11-521D12.5,0,1,1,0,0,0
RP11-521I2.3,0,0,0,0,0,0
RP11-522I20.3,0,0,0,0,0,0
RP11-524H19.2,0,0,1,0,0,0
RP11-526I2.5,0,1,0,0,0,0
RP11-527N22.2,1,1,1,0,0,0
RP11-529K1.2,0,0,0,0,0,0
RP11-52A20.2,0,0,0,0,0,0
RP11-531A24.5,0,0,0,0,0,0
RP11-532F12.5,0,0,0,0,0,0
RP11-536K7.3,0,0,0,0,0,0
RP11-539L10.3,0,0,0,0,0,0
RP11-53O19.1,1,1,1,0,0,0
RP11-53O19.3,1,0,1,0,0,0
RP11-540A21.2,1,1,1,0,0,0
RP11-541N10.3,0,0,0,0,0,0
RP11-545E17.3,1,1,1,0,0,0
RP11-545I5.3,1,1,1,0,0,0
RP11-549J18.1,0,1,1,0,0,0
RP11-54A4.2,0,0,0,0,0,0
RP11-54O7.17,0,0,0,0,0,0
RP11-54O7.3,0,0,0,0,0,0
RP11-552M11.8,1,0,1,0,0,0
RP11-553A21.3,0,0,0,0,0,0
RP11-554I8.2,0,1,1,0,1,0
RP11-554J4.1,0,0,0,0,0,0
RP11-557H15.3,1,1,1,1,1,1
RP11-557H15.4,0,0,0,1,0,0
RP11-563J2.2,0,0,0,0,0,0
RP11-565F19.2,0,0,0,0,0,0
RP11-567M16.1,0,0,0,0,0,0
RP11-567M16.2,0,0,0,0,0,0
RP11-568N6.1,0,1,0,0,0,0
RP11-574K11.29,1,0,0,0,0,0
RP11-57H14.4,0,0,0,0,0,0
RP11-582J16.5,0,0,0,0,0,0
RP11-585P4.5,0,0,0,0,0,0
RP11-588K22.2,0,0,0,0,1,0
RP11-589M4.1,0,0,0,0,0,0
RP11-597D13.9,0,0,0,0,0,0
RP11-5C23.1,0,0,0,0,0,0
RP11-600F24.7,0,0,0,0,0,0
RP11-60A8.1,1,1,1,1,1,1
RP11-610P16.1,0,0,1,0,0,0
RP11-611O2.5,1,1,1,0,0,0
RP11-612B6.2,1,1,1,0,0,0
RP11-613M10.6,0,0,0,0,0,0
RP11-617F23.1,0,1,1,0,0,0
RP11-61I13.3,0,0,0,0,0,0
RP11-61L19.1,0,0,1,0,0,0
RP11-620J15.3,0,0,0,0,0,0
RP11-624L4.1,0,1,1,0,0,0
RP11-631N16.2,0,0,0,0,0,0
RP11-635N19.3,0,0,0,0,0,0
RP11-644F5.11,0,0,0,0,0,0
RP11-649A18.12,0,0,1,0,0,0
RP11-65L3.2,0,0,0,0,0,0
RP11-65L3.4,0,0,0,0,0,0
RP11-660L16.2,0,0,0,0,1,0
RP11-661A12.7,1,0,1,0,0,0
RP11-666A20.4,0,0,0,0,1,0
RP11-66B24.4,0,0,0,0,0,0
RP11-66N24.3,0,1,1,0,0,0
RP11-66N24.4,0,0,0,0,0,0
RP11-677M14.7,0,0,0,0,0,0
RP11-67L2.2,0,0,0,0,0,0
RP11-680F8.4,0,0,0,0,0,0
RP11-685N10.1,0,0,0,0,0,0
RP11-686D22.8,0,0,0,0,0,0
RP11-690D19.3,1,1,1,0,0,0
RP11-696N14.1,0,1,0,0,0,0
RP11-6N17.4,0,0,0,0,0,0
RP11-701H24.4,0,0,0,0,0,0
RP11-705C15.3,0,0,0,0,0,0
RP11-708J19.1,0,0,0,0,0,0
RP11-70C1.1,0,0,0,0,0,0
RP11-712B9.2,0,0,0,0,0,0
RP11-712P20.2,0,1,0,0,0,0
RP11-722E23.2,1,1,1,0,0,0
RP11-727A23.5,0,0,0,0,0,0
RP11-727F15.12,0,0,0,0,0,0
RP11-731C17.2,0,0,0,0,0,0
RP11-731D1.4,0,0,1,0,0,0
RP11-733O18.1,0,0,0,0,0,0
RP11-734K21.5,0,0,0,0,1,0
RP11-736K20.5,0,1,1,0,0,0
RP11-73E17.2,0,0,0,0,0,0
RP11-73K9.2,0,0,0,0,0,0
RP11-73M18.6,0,0,0,0,0,0
RP11-73M18.7,0,0,1,0,0,0
RP11-73M18.8,0,0,1,0,0,0
RP11-747H7.3,0,1,1,0,0,0
RP11-750H9.5,0,0,0,0,0,0
RP11-757F18.5,1,1,1,0,0,0
RP11-760H22.2,0,1,1,0,0,0
RP11-767N6.7,0,0,0,0,0,0
RP11-774O3.3,0,1,1,0,1,0
RP11-77H9.2,0,0,0,0,0,0
RP11-77P6.2,0,1,1,0,0,0
RP11-783K16.13,0,0,1,0,0,0
RP11-783K16.5,1,1,1,0,0,0
RP11-785H5.2,0,0,0,0,0,0
RP11-792A8.4,0,0,0,0,1,0
RP11-793H13.11,0,0,0,0,0,0
RP11-795F19.1,0,0,1,0,1,0
RP11-796E2.4,0,0,0,0,0,0
RP11-797A18.6,0,0,0,0,0,0
RP11-798M19.6,0,0,0,0,0,0
RP11-799D4.4,0,1,1,0,0,0
RP11-79H23.3,0,0,0,0,0,0
RP11-7K24.3,1,1,1,1,1,1
RP11-800A3.4,1,0,1,0,0,0
RP11-802E16.3,0,1,1,1,0,0
RP11-804H8.6,0,1,1,0,0,0
RP11-809O17.1,0,1,1,0,0,0
RP11-80I15.4,0,1,1,0,0,0
RP11-815J21.1,0,0,0,0,0,0
RP11-817O13.8,1,0,1,0,0,0
RP11-819C21.1,1,1,1,0,0,0
RP11-829H16.3,0,0,0,0,0,0
RP11-82L18.2,0,1,1,0,0,0
RP11-834C11.4,0,0,1,0,0,0
RP11-83A24.2,0,0,0,0,0,0
RP11-848P1.2,0,0,1,0,0,0
RP11-849H4.4,0,0,0,0,0,0
RP11-861E21.2,0,0,0,0,0,0
RP11-863P13.6,1,1,1,1,1,1
RP11-867G23.8,0,0,0,0,0,0
RP11-875O11.1,0,0,0,0,0,0
RP11-879F14.2,1,0,1,0,0,0
RP11-884K10.7,0,0,0,0,0,0
RP11-888D10.4,1,1,0,0,0,0
RP11-88H9.2,0,1,1,0,0,0
RP11-890B15.3,0,1,0,0,0,0
RP11-902B17.1,0,0,0,0,0,0
RP11-93B14.6,1,1,1,1,1,1
RP11-95D17.1,0,0,0,0,0,0
RP11-968O1.5,0,1,1,1,1,0
RP11-96D1.11,0,1,0,1,0,0
RP11-96H19.1,0,0,0,0,0,0
RP11-96K19.4,0,0,0,0,0,0
RP11-973H7.3,0,0,0,0,0,0
RP11-977G19.11,0,0,0,0,1,0
RP11-977G19.5,0,0,0,0,0,0
RP11-981G7.1,1,0,1,0,0,0
RP11-983P16.4,0,1,1,0,0,0
RP11-98I9.4,0,0,0,0,0,0
RP11-996F15.2,0,1,0,0,0,0
RP13-1032I1.7,0,0,0,0,0,0
RP13-104F24.2,0,1,0,0,0,0
RP13-188A5.1,0,1,0,0,0,0
RP13-216E22.4,0,0,0,0,0,0
RP13-270P17.3,0,0,0,0,0,0
RP13-463N16.6,0,1,1,0,0,0
RP13-516M14.1,0,0,0,0,0,0
RP13-890H12.2,0,1,1,0,0,0
RP3-325F22.5,0,0,1,0,0,0
RP3-329A5.8,0,0,0,0,0,0
RP3-368A4.6,1,0,0,0,0,0
RP3-395M20.12,0,0,1,0,0,0
RP3-395M20.8,0,0,1,0,0,0
RP3-405J10.3,0,0,0,0,0,0
RP3-406A7.7,0,0,0,0,0,0
RP3-428L16.2,0,0,0,0,0,0
RP3-429O6.1,0,0,1,0,0,0
RP3-439F8.1,0,0,0,0,0,0
RP3-467N11.1,0,1,0,0,0,0
RP3-475N16.1,0,0,0,0,0,0
RP3-508I15.21,0,1,1,0,0,0
RP3-508I15.9,0,0,0,0,0,0
RP3-510D11.2,0,0,0,0,0,0
RP3-512B11.3,0,0,1,0,0,0
RP3-522D1.1,0,1,0,0,0,0
RP3-523K23.2,0,0,0,0,1,0
RP4-529N6.2,1,1,1,1,1,1
RP4-541C22.5,0,1,0,1,0,0
RP4-555D20.2,0,0,0,0,0,0
RP4-564F22.5,0,0,0,0,0,0
RP4-591C20.9,0,1,1,0,0,0
RP4-612B15.3,0,0,0,0,0,0
RP4-622L5.7,0,0,1,0,0,0
RP4-639F20.1,0,0,1,0,0,0
RP4-647C14.2,0,0,0,0,0,0
RP4-647J21.1,0,1,1,0,0,0
RP4-657D16.3,0,0,0,0,0,0
RP4-660H19.1,0,0,0,0,0,0
RP4-737E23.2,0,1,1,0,1,0
RP4-756H11.3,0,0,0,0,0,0
RP4-758J18.13,1,1,1,0,0,0
RP4-758J18.2,0,1,1,0,0,0
RP4-773N10.4,0,0,0,0,0,0
RP4-794H19.1,0,1,1,1,1,0
RP4-798A10.2,0,0,0,0,0,0
RP5-1021I20.1,0,0,0,0,0,0
RP5-1028K7.2,0,1,1,0,0,0
RP5-1065J22.8,0,0,0,0,0,0
RP5-1068E13.7,0,0,1,0,0,0
RP5-1074L1.4,1,0,1,0,0,0
RP5-1085F17.3,0,0,0,0,0,0
RP5-1086K13.1,0,0,0,0,0,0
RP5-1092A3.4,0,0,0,0,0,0
RP5-1112D6.7,0,1,0,0,0,0
RP5-1112D6.8,0,1,0,0,0,0
RP5-1126H10.2,0,0,0,0,0,0
RP5-1136G13.2,1,1,1,0,0,0
RP5-1148A21.3,0,0,1,0,0,0
RP5-1158E12.3,0,0,0,0,0,0
RP5-1159O4.1,0,1,0,0,0,0
RP5-1160K1.3,0,1,0,0,0,0
RP5-827C21.4,0,0,0,0,0,0
RP5-864K19.4,0,0,1,0,0,0
RP5-882C2.2,0,0,0,0,0,0
RP5-884C9.2,0,1,1,0,0,0
RP5-884M6.1,1,1,1,0,0,0
RP5-890E16.2,0,0,0,0,0,0
RP5-890O3.9,0,0,0,0,0,0
RP5-894A10.2,0,0,0,0,0,0
RP5-894A10.6,0,0,0,0,0,0
RP5-940J5.9,1,1,1,0,0,0
RP5-968P14.2,0,0,1,0,0,0
RP5-991G20.1,0,1,0,1,0,0
RP6-109B7.5,0,0,0,0,0,0
RP6-65G23.3,0,0,0,0,0,0
RP6-91H8.3,0,0,1,0,0,0
RP6-99M1.3,1,0,0,0,0,0
RPARP-AS1,0,0,0,0,0,0
RPPH1,0,0,1,0,0,0
RRN3P2,0,0,0,0,0,0
RUNDC3A-AS1,0,0,1,0,0,0
RUSC1-AS1,0,0,0,0,0,0
SAP30L-AS1,0,0,0,0,0,0
SATB1-AS1,0,0,0,0,0,0
SBF2-AS1,0,0,0,0,0,0
SCAMP1-AS1,0,1,1,0,0,0
SCARNA15,0,0,0,0,0,0
SCARNA2,0,0,0,0,0,0
SCARNA9,1,1,1,0,0,0
SCGB1B2P,0,0,1,0,0,0
SDCBP2-AS1,0,0,0,0,0,0
SEC24B-AS1,0,0,1,0,0,0
SEMA6A-AS1,1,0,1,0,0,0
SEPT7-AS1,0,0,1,0,0,0
SERPINB9P1,0,0,1,0,0,0
SERTAD4-AS1,0,0,0,0,0,0
SFTA1P,0,0,1,0,0,0
SGMS1-AS1,0,0,0,0,0,0
SH3BP5-AS1,0,1,1,0,0,0
SLC16A1-AS1,0,1,1,1,0,0
SLC25A21-AS1,0,0,1,0,0,0
SLC25A25-AS1,0,0,0,0,0,0
SLC25A5-AS1,0,0,0,0,0,0
SLC2A1-AS1,0,0,0,0,0,0
SLCO4A1-AS1,1,1,1,1,1,1
SMAD5-AS1,0,1,1,0,1,0
SMC5-AS1,0,0,0,0,0,0
SNAI3-AS1,0,0,0,0,0,0
SNHG1,0,1,1,0,0,0
SNHG10,0,0,0,0,0,0
SNHG11,0,1,1,0,0,0
SNHG12,0,1,0,0,0,0
SNHG14,0,1,0,0,0,0
SNHG15,0,1,1,0,1,0
SNHG16,0,1,1,0,0,0
SNHG17,0,1,0,0,0,0
SNHG18,0,0,0,0,0,0
SNHG19,0,0,0,0,0,0
SNHG20,0,0,0,0,0,0
SNHG21,0,0,0,0,0,0
SNHG22,1,0,1,0,0,0
SNHG23,1,1,1,0,0,0
SNHG25,0,0,1,0,0,0
SNHG3,1,1,1,0,0,0
SNHG5,0,0,0,0,0,0
SNHG6,0,1,0,1,0,0
SNHG7,0,1,1,0,0,0
SNHG8,0,0,0,0,0,0
SNHG9,0,0,0,0,0,0
SOCS2-AS1,0,0,0,0,0,0
SOS1-IT1,0,0,0,0,0,0
SOX21-AS1,0,1,1,1,0,0
SOX9-AS1,0,1,1,0,1,0
SP2-AS1,0,0,0,0,0,0
SRP14-AS1,0,0,0,0,0,0
